No.,Clause,Label,Standard_Body,Standard_No,Clause_No,Year,Page,Justification
109,"""The financial institution shall ensure that property valuations for housing financing are conducted by independent, licensed appraisers.""",1,IFSB,IFSB-14 (Risk Management for Takaful/Financing),3.1.5,2013,16,Relying on certified third-party property valuations is compliant as it mitigates operational conflict of interest and market valuation errors.
110,"""The Takaful contribution for a home policy can be dynamically adjusted based on the individual credit score of the property owner.""",0,IFSB,IFSB-14 (Risk Management for Takaful/Financing),3.1.3,2013,15,Non-Compliant Baseline: Setting property insurance premiums based purely on financial credit risk rather than actual asset peril exposure is actuarially flawed.
111,"""The house policy covers physical damage resulting directly from the impact of falling trees or collapsing telecommunication towers.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/2,2015,643,The inclusion of unexpected external impact perils is compliant because it addresses tangible physical damage to the property structure.
112,"""The participant must declare if the covered dwelling is built of standard brick and concrete or if it contains timber walls.""",1,IFSB,IFSB-14 (Risk Management for Takaful/Financing),3.1.2,2013,14,Requiring structural material declarations is compliant as it allows the pool to assess the proper fire risk profile of the house.
113,"""If the house is left unoccupied for more than ninety consecutive days, the theft coverage under the certificate is automatically suspended.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/1,2015,642,Suspending coverage due to extended vacancy is compliant as it prevents excessive risk inflation caused by a participant's negligence.
114,"""The Takaful operator can utilize the participant's home fund to purchase speculative derivative instruments to hedge interest rate risks.""",0,IFSA,Islamic Financial Services Act 2013,Section 91,2013,109,Non-Compliant Baseline: Exposing public risk funds to highly speculative or interest-based financial derivatives violates Shariah asset management rules.
115,"""Any investment profits generated from the housing Takaful reserve fund shall be credited back to the fund after deducting the manager's share.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),5/2/1,2015,647,Returning investment yields to the public pool is compliant because the reserve fund remains the collective property of the participants.
116,"""The operator shall establish a dedicated consumer complaints unit to handle grievances regarding delayed property claim settlements.""",1,IFSA,Islamic Financial Services Act 2013,Section 136,2013,139,Maintaining a formal grievance resolution mechanism is compliant as it protects vulnerable consumers from corporate negligence.
117,"""The house policy includes a temporary removal clause, extending coverage to contents shifted to another building due to impending flood.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/3,2015,644,Extending off-site coverage during active emergencies is compliant because it promotes proactive asset preservation and mitigation of loss.
118,"""The bank can charge a fixed administrative fee for processing a home financing application, provided it matches the actual overhead cost.""",1,AAOIFI,Shariah Standard No. 19 (Loan/Qard),2/1,2015,482,Charging processing fees based on actual administrative overhead is compliant since it does not constitute a hidden interest charge (Riba).
119,"""The bank can link the processing fee of a home financing application directly to a percentage of the property value.""",0,AAOIFI,Shariah Standard No. 19 (Loan/Qard),2/2,2015,483,Non-Compliant Baseline: Scaling administrative fees to a percentage of the loan or property value is non-compliant as it mimics interest structures.
120,"""In a housing Murabahah contract, the bank may require the customer to provide a monetary pledge as security against default.""",1,AAOIFI,Shariah Standard No. 8 (Murabahah to the Purchase Orderer),3/1,2015,220,Requiring a financial security deposit (Hamish Jiddiyyah) is compliant to protect the financing institution from non-genuine buyers.
121,"""If the customer breaches their promise to buy the house under Murabahah, the bank can confiscate the entire deposit as pure profit.""",0,AAOIFI,Shariah Standard No. 8 (Murabahah to the Purchase Orderer),3/3,2015,221,"Non-Compliant Baseline: Retaining a promise deposit beyond the scope of actual, verifiable damages suffered by the bank constitutes unlawful enrichment."
122,"""The bank may impose a financial penalty on late monthly payments for house financing, which must be fully donated to charity.""",1,AAOIFI,Shariah Standard No. 3 (Default/Late Payment Penalties),2/1,2015,92,Directing late fees strictly to charity is compliant because it deters deliberate default without generating usurious income for the lender.
123,"""The late payment penalty collected from the home financing customer can be recorded directly as corporate income for the bank.""",0,AAOIFI,Shariah Standard No. 3 (Default/Late Payment Penalties),2/3,2015,94,Non-Compliant Baseline: Treating late payment fines as commercial revenue is strictly forbidden because it constitutes a form of Riba.
124,"""The customer can choose to fully settle their home financing early and may receive a discretionary rebate from the financial institution.""",1,IFSA,Islamic Financial Services Act 2013,Section 141,2013,145,Granting a discretionary rebate (Ibra') for early settlement is compliant and highly encouraged to ease the financial burden on consumers.
125,"""The housing contract shall contain a clause making it mandatory for the bank to grant a fixed, mathematically pre-calculated rebate upon early exit.""",0,AAOIFI,Shariah Standard No. 8 (Murabahah to the Purchase Orderer),4/6,2015,225,Non-Compliant Baseline: Legally binding the lender to a fixed future settlement rebate during contract inception is prohibited as it compromises price certainty.
126,"""The house policy covers the cost of removing debris following a catastrophic fire that completely destroys the residential building.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/2,2015,643,"Covering debris removal costs is compliant as it represents a direct, unavoidable financial expense arising directly from the primary insured peril."
127,"""The Takaful certificate will cover loss or damage to the home contents caused by a riot, provided an additional contribution is paid.""",1,IFSB,IFSB-14 (Risk Management for Takaful/Financing),3.1.1,2013,12,Adding explicit social riot protection via paid endorsements is compliant because it expands the mutual risk pool under transparent terms.
128,"""The Takaful operator can deny a legitimate home fire claim if the participant belongs to a specific political affiliation.""",0,IFSA,Islamic Financial Services Act 2013,Section 143,2013,147,Non-Compliant Baseline: Denying claims based on personal political affiliation is non-compliant as it introduces unfair discrimination into consumer contracts.
129,"""The home contents policy excludes coverage for property damage resulting from wear, tear, gradual deterioration, or atmospheric conditions.""",1,IFSB,IFSB-14 (Risk Management for Takaful/Financing),3.1.2,2013,14,"Excluding natural wear and tear is compliant because insurance can only cover sudden, fortuitous events, not certain physical aging processes."
130,"""The participant has a legal obligation to inform the operator if their insured home is converted into a commercial storage warehouse.""",1,IFSA,Islamic Financial Services Act 2013,"Schedule 9, Para 5",2013,248,Requiring notification for material risk alterations is compliant because changes in building usage fundamentally alter the underlying risk pool dynamics.
131,"""The Takaful operator must maintain liquid asset reserves specifically allocated to meet immediate property damage claims during peak flood seasons.""",1,IFSB,IFSB-14 (Risk Management for Takaful/Financing),4.3.2,2013,31,Maintaining strict liquidity management for seasonal environmental perils is compliant and necessary to ensure systemic pool stability.
132,"""The bank may act as a purchasing agent (Wakil) for the customer to procure the house from the vendor, prior to executing the Murabahah sale.""",1,AAOIFI,Shariah Standard No. 8 (Murabahah to the Purchase Orderer),2/2,2015,215,"Utilizing a preliminary agency contract (Wakalah) to facilitate property procurement is compliant, provided it is distinct from the ultimate sale."
133,"""The bank can combine the preliminary agency contract and the final Murabahah sale of the house into a single, inseparable legal document.""",0,AAOIFI,Shariah Standard No. 8 (Murabahah to the Purchase Orderer),2/3,2015,216,Non-Compliant Baseline: Merging an agency role and a principal sale into one transaction creates a conflict of roles and results in a forbidden dual-contract structure.
134,"""In an Istisna' housing contract, the financial institution agrees to manufacture or construct a new residential home according to strict specifications.""",1,AAOIFI,Shariah Standard No. 11 (Istisna'a and Parallel Istisna'a),2/1,2015,290,"Constructing homes under pre-agreed design, material, and time parameters is compliant because specification removes excessive contract uncertainty."
135,"""The delivery date for a house under construction via Istisna' can be left completely open-ended and subject to the developer's sole discretion.""",0,AAOIFI,Shariah Standard No. 11 (Istisna'a and Parallel Istisna'a),3/2,2015,293,"Non-Compliant Baseline: Failing to fix a definitive delivery timeline for a constructed house introduces severe Gharar, rendering the contract void."
136,"""The bank can execute a parallel Istisna' contract with a sub-contractor to build the house, remaining fully liable to the ultimate customer.""",1,AAOIFI,Shariah Standard No. 11 (Istisna'a and Parallel Istisna'a),4/1,2015,295,Utilizing a parallel construction contract is compliant as long as the bank accepts primary liability for delivery quality toward the consumer.
137,"""The house policy covers the replacement of a residential water filter system damaged by an accidental vehicle impact within the compound.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/3,2015,644,"Covering external domestic fixtures against sudden vehicle impacts is compliant since it represents a clear, accidental loss to home property."
138,"""The Takaful operator can reduce the claim payout value if the participant repairs their home using unapproved, substandard non-halal materials.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/6,2015,644,Adjusting claim payouts based on standardized repair material rules is compliant to maintain equity and prevent structural fraud.
139,"""The financial institution shall conduct comprehensive stress-testing on its residential mortgage portfolio against extreme property market crashes.""",1,IFSB,IFSB-14 (Risk Management for Takaful/Financing),4.2.3,2013,29,Implementing macroeconomic stress-testing on home financing portfolios is compliant with sound institutional risk management standards.
140,"""The bank can demand the immediate, full accelerated repayment of the entire outstanding home financing balance if the customer misses a single payment.""",0,AAOIFI,Shariah Standard No. 8 (Murabahah to the Purchase Orderer),4/4,2015,223,Non-Compliant Baseline: Triggering full asset acceleration without providing a fair cure period or proof of systemic insolvency is an oppressive condition.
141,"""The Takaful certificate will cover a guest's personal belongings damaged during a major household fire up to a specified sub-limit.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/3,2015,644,Extending hospitality-based emergency protection to guests within the home is compliant as it reflects Islamic communal values of care.
142,"""The home policy premium must be paid in full at inception unless a structured, interest-free installment plan is formally agreed upon.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/5,2015,644,Allowing structured premium installments without adding credit finance interest is compliant with non-usurious commercial standards.
143,"""The Takaful operator is legally permitted to allocate a portion of the house risk fund to sponsor local community fire-safety awareness programs.""",1,IFSA,Islamic Financial Services Act 2013,Section 93,2013,110,Spending risk pool reserves on preventative risk-reduction programs is compliant because it actively lowers the overall loss probability of the pool.
144,"""The bank can increase the monthly rental rate of a Diminishing Musharakah house contract unilaterally if global interest benchmark rates fluctuate.""",0,AAOIFI,Shariah Standard No. 9 (Ijarah and Ijarah Muntahia Bittamleek),5/2,2015,248,Non-Compliant Baseline: Changing rental values arbitrarily without a pre-agreed formula or mutual contract amendment introduces prohibitive contractual conflict.
145,"""The home financing contract can use a public floating benchmark index like the Islamic Interbank Offered Rate to calculate variable rental rates.""",1,AAOIFI,Shariah Standard No. 9 (Ijarah and Ijarah Muntahia Bittamleek),5/3,2015,249,"Utilizing an objective, transparent public benchmark to determine future rental adjustments is compliant because it eliminates personal bias and uncertainty."
146,"""The Takaful company can invest the home fund capital into Shariah-compliant real estate investment trusts that hold commercial property portfolios.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),7/1,2015,653,Investing in equity-backed Islamic REITs is compliant because the underlying assets are real tangible properties that generate lawful rental yields.
147,"""The operator can refuse to provide a copy of the property certificate's full terms and conditions to the homeowner after receiving the premium.""",0,IFSA,Islamic Financial Services Act 2013,Section 142,2013,146,Non-Compliant Baseline: Withholding core contract text from the consumer introduces severe Jahl and violates statutory requirements of market transparency.
148,"""The house policy covers the breakdown of domestic electrical installations caused directly by a power surge following a lightning strike.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/2,2015,643,Covering electrical damage linked to a natural atmospheric peril is compliant as it addresses a direct causal line of accidental physical property loss.
149,"""The bank shall bear the cost of property ownership taxes (such as quit rent and assessment tax) during the active leasing phase of a housing Ijarah.""",1,AAOIFI,Shariah Standard No. 9 (Ijarah and Ijarah Muntahia Bittamleek),4/2,2015,246,Paying statutory ownership taxes is compliant because the legal owner of the property asset (the bank) must bear all ownership-related fiscal duties.
150,"""The Takaful operator can completely clear out the accumulated surplus of the home fund and distribute it solely to corporate executive directors as bonuses.""",0,IFSA,Islamic Financial Services Act 2013,Section 91,2013,109,Non-Compliant Baseline: Misappropriating underwriting pool surpluses intended for participants to enrich company executives is an illegal breach of fiduciary duty.
151,"""The interest/profit rate charged on this Islamic home financing may be fixed or floating based on the ceiling rate capped at inception.""",1,IFSA,Islamic Financial Services Act 2013,Section 29 / SAC Ruling,2013,33,"Compliant: The dual-term usage is acceptable in commercial Product Disclosure Sheets, and floating rates are compliant as long as a maximum ceiling rate is locked to eliminate risk ambiguity (Gharar)."
152,"""The bank shall charge a late payment fee of 1% per annum on the amount in arrears, which will be channeled partly as compensation and partly to charity.""",1,IFSA,Islamic Financial Services Act 2013,SAC LPC Guidelines,2013,115,"Compliant: In Malaysian Islamic finance, a 1% late charge is permitted because it is split into Ta'widh (actual cost recovery) and Gharamah (penalty for charity), preventing the bank from pocketing usurious profit."
153,"""The bank reserves the right to set-off any credit balance in the customer's savings or current accounts to settle outstanding house financing defaults.""",1,AAOIFI,Shariah Standard No. 19 (Loan/Qard) / Al-Maqassah,4/1,2015,488,"Compliant: The right of set-off is fully compliant under the Shariah principle of Al-Maqassah (debt offsetting), allowing a lender to clear a liquid, default debt using the debtor's available deposits."
154,"""The customer may enjoy flexibility of redrawing excess payments from the home financing facility via a sequential Tawarruq execution.""",1,IFSA,Islamic Financial Services Act 2013,Tawarruq Policy Document,2013,52,Compliant: Redrawing excess cash is compliant in a flexible Islamic housing contract because it utilizes a fresh commodity sale (Tawarruq) rather than a commercial interest-bearing loan feature.
155,"""The applicable pricing for this home financing is calculated using the Standard Base Rate (SBR) plus a fixed profit spread of 1.35% per annum.""",1,IFSA,Islamic Financial Services Act 2013,SAC Benchmark Policy,2013,41,"Compliant: Referencing a conventional floating benchmark like the SBR to price an Islamic home product is permitted, as it serves merely as a cost-index pricing mechanism."
156,"""The bank will establish a housing facility where interest continues to compound daily on any overdue balances until full settlement.""",0,AAOIFI,General Prohibition of Riba,Core Principle,2015,22,"Non-Compliant: Compounding interest daily on overdue house balances is a severe form of Riba al-Nasi'ah, which treats time extensions as a commodity to extract usury."
157,"""The customer shall subscribe to a Mortgage Reducing Term Takaful (MRTT) to secure the outstanding property financing value.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/1,2015,642,"Compliant: Mandating an MRTT for property coverage is compliant because the protection pool is built on mutual solidarity, charity (Tabarru'), and clear non-usurious parameters."
158,"""The total interest cost shown in this document represents the conventional equivalent pricing for consumer comparison purposes only.""",1,IFSA,Islamic Financial Services Act 2013,Section 142 / Disclosure,2013,146,"Compliant: Displaying equivalent interest metrics for consumer comparison is compliant, provided the underlying financing contract relies strictly on a valid sale or lease."
159,"""If the customer defaults on the property financing, the bank will increase the contractual profit rate dynamically to a penalty rate of SBR plus 6%.""",0,AAOIFI,Shariah Standard No. 3 (Default Penalties),2/1,2015,92,Non-Compliant: Escalating the core profit rate as a penalty for default is non-compliant because a debt's price cannot be altered or increased after the contract execution.
160,"""The customer may be granted a structural rebate (Ibra) on the total selling price of the house upon successful early settlement of the facility.""",1,IFSA,Islamic Financial Services Act 2013,Ibra' Policy Document,2013,145,Compliant: Granting a rebate (Ibra') for early settlement of real estate financing is highly compliant and encouraged under Shariah to reward early debt clearance.
161,"""The bank charges a processing fee of RM50.00 for redrawing excess funds to cover the actual corporate administrative cost of the transaction.""",1,AAOIFI,Shariah Standard No. 19 (Loan/Qard),2/1,2015,482,"Compliant: Charging a fixed transaction fee is permitted because it is directly tied to the actual, verifiable manual or digital administrative expenses of the operator."
162,"""The redraw fee for this home account shall be calculated dynamically as 2% of the total amount of excess cash being withdrawn by the user.""",0,AAOIFI,Shariah Standard No. 19 (Loan/Qard),2/2,2015,483,Non-Compliant: Structuring a transaction fee as a percentage of the cash being withdrawn turns the administrative fee into an illegal usurious charge on credit.
163,"""This product is a Shariah-compliant Home Financing facility operating under the underlying contract of Commodity Murabahah.""",1,AAOIFI,Shariah Standard No. 8 (Murabahah),2/1,2015,214,Compliant: Utilizing Commodity Murabahah (Tawarruq) to provide home financing is compliant as it structures the cash provision through a series of real asset buy-and-sell trades.
164,"""The customer agrees to enter into a mortgage loan contract where the property is charged as a direct security for a usurious debt.""",0,AAOIFI,General Prohibition of Riba,Core Principle,2015,15,Non-Compliant: Entering into a conventional mortgage loan is strictly prohibited because the core financial relationship is built on a lender-borrower interest structure.
165,"""The Effective Profit Rate (EPR) of the housing asset may vary month to month but will never exceed the structural Ceiling Profit Rate (CPR).""",1,IFSA,Islamic Financial Services Act 2013,SAC Pricing Rules,2013,45,Compliant: A fluctuating Effective Profit Rate is compliant because the presence of a rigid Ceiling Profit Rate guarantees that the customer's maximum financial exposure is finite.
166,"""The bank can capitalize all unpaid monthly property interest amounts directly into the core principal loan balance at the end of the year.""",0,AAOIFI,General Prohibition of Riba,Core Principle,2015,22,"Non-Compliant: Capitalizing interest amounts into a principal debt balance creates an illegal compounding interest cycle, which is the baseline definition of severe Riba."
167,"""The Bank will maintain a Fire Takaful scheme for the residential property through Etiqa Takaful or any approved Islamic panel operator.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),2/1,2015,640,Compliant: Sourcing property protection exclusively through registered Takaful operators ensures that the asset preservation mechanism remains free from gambling and usury.
168,"""The bank shall provide a full discretionary waiver of late payment charges if the property buyer provides verifiable proof of unexpected medical emergency.""",1,IFSA,Islamic Financial Services Act 2013,Section 136 / Consumer Protection,2013,139,Compliant: Waiving penalties due to consumer hardship matches the Shariah objective of financial mercy (Inzar al-Mu'sir) and enhances structural ethical standards.
169,"""If the housing developer goes bankrupt, the bank has the absolute right to accelerate all interest payments and demand full settlement from the buyer.""",0,AAOIFI,Shariah Standard No. 11 (Istisna'a),3/2,2015,293,"Non-Compliant: Forcing a consumer to immediately repay accelerated usurious interest over an incomplete, non-delivered property is an oppressive condition."
170,"""The bank acts as an agent (Wakil) to purchase the housing commodities on the asset market before selling the final property rights to the client.""",1,AAOIFI,Shariah Standard No. 23 (Agency),2/1,2015,562,"Compliant: Appointing the bank or an agent to conduct preliminary asset trades is permitted, provided the agency role is legally separated from the ultimate sale."
171,"""The agency contract and the asset sale contract for the residential financing are executed simultaneously within the exact same clause.""",0,AAOIFI,Shariah Standard No. 8 (Murabahah),2/3,2015,216,"Non-Compliant: Blending an agency appointment and a principal sale into a single, undifferentiated contract layer creates a forbidden dual-contract structure."
172,"""The residential property financing is structured via Diminishing Musharakah, where the bank's asset shares are purchased monthly by the client.""",1,AAOIFI,Shariah Standard No. 12 (Sharika),3/1/1,2015,312,Compliant: Diminishing Musharakah is an authentic equity-partnership model where the consumer gradually acquires full sole ownership of the home.
173,"""In this housing contract, the bank retains the right to increase the rental rate of the home unilaterally without following any pre-agreed index formula.""",0,AAOIFI,Shariah Standard No. 9 (Ijarah),5/2,2015,248,"Non-Compliant: Modifying rental charges arbitrarily without referencing a transparent, pre-determined formula or benchmark index introduces excessive Gharar."
174,"""The rental rate for the financed home will be adjusted periodically using the Islamic Interbank Offered Rate (IIOR) as an objective transparent index.""",1,AAOIFI,Shariah Standard No. 9 (Ijarah),5/3,2015,249,Compliant: Relying on a clear public financial index like the IIOR to adjust lease pricing is permitted because it removes subjective manipulation and maintains clarity.
175,"""The house buyer is required to pay a security deposit (Hamish Jiddiyyah) to prove the financial seriousness of their property purchase application.""",1,AAOIFI,Shariah Standard No. 8 (Murabahah),3/1,2015,220,Compliant: Collecting a security deposit (Hamish Jiddiyyah) is permitted to protect a financial institution from losses caused by non-genuine purchase orders.
176,"""If the customer cancels the property purchase promise, the bank will retain the entire security deposit as non-refundable corporate revenue.""",0,AAOIFI,Shariah Standard No. 8 (Murabahah),3/3,2015,221,"Non-Compliant: Confiscating an entire promise deposit without itemizing and proving the actual, direct financial damages suffered constitutes unlawful wealth extraction."
177,"""The bank shall bear the cost of basic structural property insurance and capital property taxes during the ownership phase of the housing Ijarah.""",1,AAOIFI,Shariah Standard No. 9 (Ijarah),4/2,2015,246,Compliant: Forcing the legal owner (the bank) to pay for structural ownership preservation costs is a core requirement to maintain a valid Islamic lease.
178,"""The tenant agrees to bear all costs for the replacement of blown light bulbs, internal painting, and minor daily maintenance of the home.""",1,AAOIFI,Shariah Standard No. 9 (Ijarah),4/1,2015,245,"Compliant: Allocating superficial, ordinary operational maintenance costs to the active tenant or occupier of a house is fully compliant with standard Ijarah rules."
179,"""The home financing customer will be penalized with a compounding penalty fee if they choose to switch their home insurance to an external Takaful operator.""",0,IFSA,Islamic Financial Services Act 2013,Section 142 / Anti-Tie-In,2013,146,Non-Compliant: Restricting a consumer's freedom to select a valid Shariah-compliant alternative through monetary fines is an unfair and non-compliant practice.
180,"""The bank can request the assignment of the customer's salary account as a secondary collateral guarantee for the residential financing facility.""",1,AAOIFI,Shariah Standard No. 8 (Murabahah) / Rahn,3/1,2015,220,Compliant: Requesting salary assignment or financial lien structures as collateral (Rahn) is permitted under Shariah law to secure a validly established debt.
181,"""The bank shall charge interest on any delayed valuation fees accumulated during the initial property appraisal phase.""",0,AAOIFI,Shariah Standard No. 19 (Loan/Qard),2/1,2015,482,Non-Compliant: Applying an interest accumulation rate onto outstanding administrative fees introduces a clear secondary layer of prohibited Riba.
182,"""The house financing contract will be automatically terminated if the physical structural integrity of the residential building is lost due to landslide.""",1,AAOIFI,Shariah Standard No. 9 (Ijarah),7/1,2015,251,Compliant: Terminating a lease arrangement upon asset destruction is mandatory because the asset's utility—which justifies the rental collection—has ceased to exist.
183,"""The bank will continue to charge the full monthly rental amount on the house even if the building is condemned by engineers and rendered unlivable.""",0,AAOIFI,Shariah Standard No. 9 (Ijarah),7/1,2015,251,Non-Compliant: Demanding rental payments for a destroyed or totally unusable property asset is prohibited as it represents charging money without providing a counter-utility.
184,"""All marketing brochures and Product Disclosure Sheets for this residential home line must be fully vetted and signed off by the Shariah Committee.""",1,IFSA,Islamic Financial Services Act 2013,Section 33,2013,37,Compliant: Implementing pre-distribution Shariah board vetting over promotional copy is a mandatory regulatory step to prevent consumer misrepresentation.
185,"""The bank has the right to change the predefined profit-sharing ratio of the home investment fund retroactively without customer notification.""",0,AAOIFI,Shariah Standard No. 12 (Sharika),3/1/5,2015,314,Non-Compliant: Adjusting financial distribution weightages retroactively and unilaterally violates contract sanctity and causes severe dispute (Niza').
186,"""The property contract allows for an early settlement rebate formula that is transparently detailed inside the product disclosure documentation.""",1,IFSA,Islamic Financial Services Act 2013,Section 141,2013,145,Compliant: Publishing the mathematical framework for early settlement rebates enhances operational transparency and prevents informational asymmetry (Jahl).
187,"""The customer agrees that any late payment charges collected by the bank as a pure penalty fee will be absorbed directly into the bank's core revenue.""",0,AAOIFI,Shariah Standard No. 3 (Default Penalties),2/3,2015,94,"Non-Compliant: Retaining punitive default fines as general commercial income converts the penalty into Riba, which is structurally forbidden."
188,"""This residential home product strictly excludes any financing or asset coverage for properties constructed on illegally acquired or usurped land plots.""",1,IFSA,Islamic Financial Services Act 2013,"Schedule 9, Para 2",2013,245,Compliant: Excluding properties built on usurped real estate (Ghasb) is compliant because Shariah principles cannot validate or extend protection to illegal asset captures.
189,"""The home facility allows for a maximum financing tenure of thirty-five years or until the customer reaches the age of seventy, whichever comes first.""",1,IFSA,Islamic Financial Services Act 2013,SAC Macroprudential Rules,2013,18,Compliant: Setting age and tenure boundaries for property financing matches national financial stability frameworks and does not violate any Shariah codes.
190,"""The bank can convert the customer's outstanding profit balance into a compounding short-term interest loan if the client fails to clear it within a month.""",0,AAOIFI,Shariah Standard No. 19 (Loan/Qard),2/1,2015,482,Non-Compliant: Transforming a halal outstanding profit balance into an active interest-bearing loan configuration introduces a classic compounding Riba cycle.
191,"""The Takaful operator shall maintain a separate accounting stream for the residential pool to avoid mixing participant risk donations with shareholder cash.""",1,IFSA,Islamic Financial Services Act 2013,Section 90,2013,108,Compliant: Maintaining distinct financial funds for participants and shareholders is a critical operational standard to prevent institutional conflict of interest.
192,"""The bank shall provide a guarantee that the value of the customer's residential real estate asset will never depreciate below the initial buying price.""",0,AAOIFI,Shariah Standard No. 12 (Sharika),3/1,2015,312,Non-Compliant: Guaranteeing a partner's asset value against market depreciation in a joint investment or partnership violates the core Shariah rule of risk-sharing.
193,"""The residential financing package includes a complimentary basic home contents protection policy operating under the principle of Tabarru'.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),3/2,2015,641,"Compliant: Offering built-in, charity-based property contents protection is highly compliant as it enhances consumer welfare via a mutual gift mechanism."
194,"""The customer must clear all outstanding municipal property appraisal fees before the final signing and execution of the Musharakah contract.""",1,AAOIFI,Shariah Standard No. 12 (Sharika),3/1/1,2015,312,Compliant: Requiring the settlement of necessary legal and physical validation fees before launching a partnership ensures that the asset entering the pool is verified.
195,"""The bank has the right to demand the immediate full physical repossession of the home if the property market value falls below a certain threshold.""",0,IFSB,IFSB-14 (Risk Management),3.1.5,2013,16,Non-Compliant: Demanding instant asset repossession based solely on external macroeconomic market drops rather than customer default is an oppressive term.
196,"""The home financing facility can be structured using an Istisna' contract to finance the progressive structural development of a new residential estate.""",1,AAOIFI,Shariah Standard No. 11 (Istisna'a),2/1,2015,290,Compliant: Utilizing Istisna' for off-plan residential builds is fully compliant because locking down construction designs eliminates speculative risk (Gharar).
197,"""The developer can alter the final architectural room layouts of the house unilaterally during construction without updating the Istisna' contract text.""",0,AAOIFI,Shariah Standard No. 11 (Istisna'a),3/2,2015,293,Non-Compliant: Modifying an under-construction property's material specifications unilaterally introduces prohibited material uncertainty into the sale.
198,"""The home financing agreement specifies that any disputes regarding compliance parameters shall be referred to the Shariah Advisory Council of Bank Negara Malaysia.""",1,IFSA,Islamic Financial Services Act 2013,Section 29 / Supremacy Clause,2013,33,Compliant: Referencing national apex Shariah councils for dispute resolution is compliant and serves as a statutory requirement to ensure regulatory legal finality.
199,"""The bank can charge a fixed penalty fee of RM200.00 for early settlement to recoup the actual administrative costs of file cancellation.""",1,AAOIFI,Shariah Standard No. 3 (Default Penalties),3/1,2015,95,"Compliant: Charging an early exit fee is permitted as long as the quantum is directly mapped to the real, quantifiable operational labor and processing expenses incurred."
200,"""The bank can automatically extend the financing timeline of the home by five years and apply an extra 2% flat interest surcharge on the total balance.""",0,AAOIFI,General Prohibition of Riba,Core Principle,2015,12,Non-Compliant: Automatically lengthening a property financing timeline while piling extra flat interest surcharges on the balance is a pure manifestation of commercial usury.
201,"""The Shariah concept applicable is Tawarruq.""",1,IFSA,Islamic Financial Services Act 2013,SAC Tawarruq Policy,2013,1,Compliant: Explicitly naming and declaring the underlying Shariah concept (Tawarruq) establishes immediate transactional transparency and legal clarity for the home financing structure.
202,"""Tawarruq means an arrangement that involves two sales and purchase contracts.""",1,AAOIFI,Shariah Standard No. 30 (Monetization/Tawarruq),2/1,2015,812,Compliant: Providing an accurate Fiqh definition of Tawarruq as a dual-sale mechanism aligns the legal documentation with standard Islamic jurisprudence.
203,"""To facilitate Tawarruq arrangement, you appoint the Bank as your agent (under wakalah/agency contract) to buy a Shariah compliant commodity from the Bank at selling price based on Murabahah (cost plus profit) comprising purchase price and the Bank's profit on deferred payment basis.""",1,AAOIFI,Shariah Standard No. 23 (Agency/Wakalah) / No. 8,2/1,2015,562,"Compliant: Combining an agency (Wakalah) appointment with a cost-plus sale (Murabahah) on a deferred basis is acceptable, provided the execution steps are sequentially separated."
204,"""Subsequently, you, through the Bank acting as your agent, will sell the same commodities to a third party on a cash and spot basis.""",1,AAOIFI,Shariah Standard No. 30 (Monetization/Tawarruq),4/2,2015,815,Compliant: Selling the monetized commodity to an independent third party on a spot-cash basis is standard practice to secure immediate liquid funds without entering a prohibited bi' al-inah cycle.
205,"""The proceeds from the sale of the commodities will be paid to you in accordance with the agreed terms and conditions.""",1,IFSA,Islamic Financial Services Act 2013,Tawarruq Operational Guidelines,2013,14,Compliant: Disbursing the underlying commodity trade proceeds directly to the customer ensures the contract fulfills its primary financial purpose of asset acquisition.
206,"""The type of commodity used in this product is Shariah-compliant commodity, not limited to, crude palm oil, oleo chemicals, rubber, cocoa and soya products or such other acceptable commodities (excluding ribawi items in the category of medium of exchange such as currency, gold and silver).""",1,AAOIFI,Shariah Standard No. 30 (Monetization/Tawarruq),3/1,2015,813,"Compliant: Specifying non-ribawi, non-monetary commodities while strictly excluding gold, silver, and currencies is mandatory to prevent usurious exchange flaws."
207,"""No lock in period for this facility and the Bank shall grant Ibra (rebate), if any, on the remaining outstanding amount of the Bank's Selling Price based on the full settlement of the Facility.""",1,IFSA,Islamic Financial Services Act 2013,Ibra' Policy Document,2013,2,Compliant: Committing to grant a structural rebate (Ibra') upon early settlement without binding the customer to a lock-in period is a standard consumer-friendly practice under BNM guidelines.
